yyyymmdd,area,sex,frequency
2016-01-04,경북,2,
2016-01-04,광주,2,
2016-01-04,대구,2,
2016-01-04,대전,2,
2016-01-04,부산,2,
2016-01-04,서울,2,
2016-01-04,세종,2,
2016-01-04,울산,2,
2016-01-04,인천,2,
2016-01-04,전남,2,
2016-01-04,전북,2,
2016-01-04,제주,2,
2016-01-04,충남,2,
2016-01-04,충북,2,
2016-01-05,강원,1,
2016-01-05,경기,1,
2016-01-05,경남,1,
2016-01-05,경북,1,
2016-01-05,광주,1,
2016-01-05,대구,1,
2016-01-05,대전,1,
2016-01-05,부산,1,
2016-01-05,서울,1,
2016-01-05,세종,1,
2016-01-05,울산,1,
2016-01-05,인천,1,
2016-01-05,전남,1,
2016-01-05,전북,1,
2016-01-05,제주,1,
2016-01-05,충남,1,
2016-01-05,충북,1,
2016-01-05,강원,2,
2016-01-05,경기,2,
2016-01-05,경남,2,
2016-01-05,경북,2,
2016-01-05,광주,2,
2016-01-05,대구,2,
2016-01-05,대전,2,
2016-01-05,부산,2,
2016-01-05,서울,2,
2016-01-05,세종,2,
2016-01-05,울산,2,
2016-01-05,인천,2,
2016-01-05,전남,2,
2016-01-05,전북,2,
2016-01-05,제주,2,
2016-01-05,충남,2,
2016-01-05,충북,2,
2016-01-06,강원,1,
2016-01-06,경기,1,
2016-01-06,경남,1,
2016-01-06,경북,1,
2016-01-06,광주,1,
2016-01-06,대구,1,
2016-01-06,대전,1,
2016-01-06,부산,1,
2016-01-06,서울,1,
2016-01-06,세종,1,
2016-01-06,울산,1,
2016-01-06,인천,1,
2016-01-06,전남,1,
2016-01-06,전북,1,
2016-01-06,제주,1,
2016-01-06,충남,1,
2016-01-06,충북,1,
2016-01-06,강원,2,
2016-01-06,경기,2,
2016-01-06,경남,2,
2016-01-06,경북,2,
2016-01-06,광주,2,
2016-01-06,대구,2,
2016-01-06,대전,2,
2016-01-06,부산,2,
2016-01-06,서울,2,
2016-01-06,세종,2,
2016-01-06,울산,2,
2016-01-06,인천,2,
2016-01-06,전남,2,
2016-01-06,전북,2,
2016-01-06,제주,2,
2016-01-06,충남,2,
2016-01-06,충북,2,
2016-01-07,강원,1,
2016-01-07,경기,1,
2016-01-07,경남,1,
2016-01-07,경북,1,
2016-01-07,광주,1,
2016-01-07,대구,1,
2016-01-07,대전,1,
2016-01-07,부산,1,
2016-01-07,서울,1,
2016-01-07,세종,1,
2016-01-07,울산,1,
2016-01-07,인천,1,
2016-01-07,전남,1,
2016-01-07,전북,1,
2016-01-07,제주,1,
2016-01-07,충남,1,
2016-01-07,충북,1,
2016-01-07,강원,2,
2016-01-07,경기,2,
2016-01-07,경남,2,
2016-01-07,경북,2,
2016-01-07,광주,2,
2016-01-07,대구,2,
2016-01-07,대전,2,
2016-01-07,부산,2,
2016-01-07,서울,2,
2016-01-07,세종,2,
2016-01-07,울산,2,
2016-01-07,인천,2,
2016-01-07,전남,2,
2016-01-07,전북,2,
2016-01-07,제주,2,
2016-01-07,충남,2,
2016-01-07,충북,2,
2016-01-08,강원,1,
2016-01-08,경기,1,
2016-01-08,경남,1,
2016-01-08,경북,1,
2016-01-08,광주,1,
2016-01-08,대구,1,
2016-01-08,대전,1,
2016-01-08,부산,1,
2016-01-08,서울,1,
2016-01-08,세종,1,
2016-01-08,울산,1,
2016-01-08,인천,1,
2016-01-08,전남,1,
2016-01-08,전북,1,
2016-01-08,제주,1,
2016-01-08,충남,1,
2016-01-08,충북,1,
2016-01-08,강원,2,
2016-01-08,경기,2,
2016-01-08,경남,2,
2016-01-08,경북,2,
2016-01-08,광주,2,
2016-01-08,대구,2,
2016-01-08,대전,2,
2016-01-08,부산,2,
2016-01-08,서울,2,
2016-01-08,세종,2,
2016-01-08,울산,2,
2016-01-08,인천,2,
2016-01-08,전남,2,
2016-01-08,전북,2,
2016-01-08,제주,2,
2016-01-08,충남,2,
2016-01-08,충북,2,
2016-01-09,강원,1,
2016-01-09,경기,1,
2016-01-09,경남,1,
2016-01-09,경북,1,
2016-01-09,광주,1,
2016-01-09,대구,1,
2016-01-09,대전,1,
2016-01-09,부산,1,
2016-01-09,서울,1,
2016-01-09,세종,1,
2016-01-09,울산,1,
2016-01-09,인천,1,
2016-01-09,전남,1,
2016-01-09,전북,1,
2016-01-09,제주,1,
2016-01-09,충남,1,
2016-01-09,충북,1,
2016-01-09,강원,2,
2016-01-09,경기,2,
2016-01-09,경남,2,
2016-01-09,경북,2,
2016-01-09,광주,2,
2016-01-09,대구,2,
2016-01-09,대전,2,
2016-01-09,부산,2,
2016-01-09,서울,2,
2016-01-09,세종,2,
2016-01-09,울산,2,
2016-01-09,인천,2,
2016-01-09,전남,2,
2016-01-09,전북,2,
2016-01-09,제주,2,
2016-01-09,충남,2,
2016-01-09,충북,2,
2016-01-10,강원,1,
2016-01-10,경기,1,
2016-01-10,경남,1,
2016-01-10,경북,1,
2016-01-10,광주,1,
2016-01-10,대구,1,
2016-01-10,대전,1,
2016-01-10,부산,1,
2016-01-10,서울,1,
2016-01-10,세종,1,
2016-01-10,울산,1,
2016-01-10,인천,1,
2016-01-10,전남,1,
2016-01-10,전북,1,
2016-01-10,제주,1,
2016-01-10,충남,1,
2016-01-10,충북,1,
2016-01-10,강원,2,
2016-01-10,경기,2,
2016-01-10,경남,2,
2016-01-10,경북,2,
2016-01-10,광주,2,
2016-01-10,대구,2,
2016-01-10,대전,2,
2016-01-10,부산,2,
2016-01-10,서울,2,
2016-01-10,세종,2,
2016-01-10,울산,2,
2016-01-10,인천,2,
2016-01-10,전남,2,
2016-01-10,전북,2,
2016-01-10,제주,2,
2016-01-10,충남,2,
2016-01-10,충북,2,
2016-01-11,강원,1,
2016-01-11,경기,1,
2016-01-11,경남,1,
2016-01-11,경북,1,
2016-01-11,광주,1,
2016-01-11,대구,1,
2016-01-11,대전,1,
2016-01-11,부산,1,
2016-01-11,서울,1,
2016-01-11,세종,1,
2016-01-11,울산,1,
2016-01-11,인천,1,
2016-01-11,전남,1,
2016-01-11,전북,1,
2016-01-11,제주,1,
2016-01-11,충남,1,
2016-01-11,충북,1,
2016-01-11,강원,2,
2016-01-11,경기,2,
2016-01-11,경남,2,
2016-01-11,경북,2,
2016-01-11,광주,2,
2016-01-11,대구,2,
2016-01-11,대전,2,
2016-01-11,부산,2,
2016-01-11,서울,2,
2016-01-11,세종,2,
2016-01-11,울산,2,
2016-01-11,인천,2,
2016-01-11,전남,2,
2016-01-11,전북,2,
2016-01-11,제주,2,
2016-01-11,충남,2,
2016-01-11,충북,2,
2016-01-12,강원,1,
2016-01-12,경기,1,
2016-01-12,경남,1,
2016-01-12,경북,1,
2016-01-12,광주,1,
2016-01-12,대구,1,
2016-01-12,대전,1,
2016-01-12,부산,1,
2016-01-12,서울,1,
2016-01-12,세종,1,
2016-01-12,울산,1,
2016-01-12,인천,1,
2016-01-12,전남,1,
2016-01-12,전북,1,
2016-01-12,제주,1,
2016-01-12,충남,1,
2016-01-12,충북,1,
2016-01-12,강원,2,
2016-01-12,경기,2,
2016-01-12,경남,2,
2016-01-12,경북,2,
2016-01-12,광주,2,
2016-01-12,대구,2,
2016-01-12,대전,2,
2016-01-12,부산,2,
2016-01-12,서울,2,
2016-01-12,세종,2,
2016-01-12,울산,2,
2016-01-12,인천,2,
2016-01-12,전남,2,
2016-01-12,전북,2,
2016-01-12,제주,2,
2016-01-12,충남,2,
2016-01-12,충북,2,
2016-01-13,강원,1,
2016-01-13,경기,1,
2016-01-13,경남,1,
2016-01-13,경북,1,
2016-01-13,광주,1,
2016-01-13,대구,1,
2016-01-13,대전,1,
2016-01-13,부산,1,
2016-01-13,서울,1,
2016-01-13,세종,1,
2016-01-13,울산,1,
2016-01-13,인천,1,
2016-01-13,전남,1,
2016-01-13,전북,1,
2016-01-13,제주,1,
2016-01-13,충남,1,
2016-01-13,충북,1,
2016-01-13,강원,2,
2016-01-13,경기,2,
2016-01-13,경남,2,
2016-01-13,경북,2,
2016-01-13,광주,2,
2016-01-13,대구,2,
2016-01-13,대전,2,
2016-01-13,부산,2,
2016-01-13,서울,2,
2016-01-13,세종,2,
2016-01-13,울산,2,
2016-01-13,인천,2,
2016-01-13,전남,2,
2016-01-13,전북,2,
2016-01-13,제주,2,
2016-01-13,충남,2,
2016-01-13,충북,2,
2016-01-14,강원,1,
2016-01-14,경기,1,
2016-01-14,경남,1,
2016-01-14,경북,1,
2016-01-14,광주,1,
2016-01-14,대구,1,
2016-01-14,대전,1,
2016-01-14,부산,1,
2016-01-14,서울,1,
2016-01-14,세종,1,
2016-01-14,울산,1,
2016-01-14,인천,1,
2016-01-14,전남,1,
2016-01-14,전북,1,
2016-01-14,제주,1,
2016-01-14,충남,1,
2016-01-14,충북,1,
2016-01-14,강원,2,
2016-01-14,경기,2,
2016-01-14,경남,2,
2016-01-14,경북,2,
2016-01-14,광주,2,
2016-01-14,대구,2,
2016-01-14,대전,2,
2016-01-14,부산,2,
2016-01-14,서울,2,
2016-01-14,세종,2,
2016-01-14,울산,2,
2016-01-14,인천,2,
2016-01-14,전남,2,
2016-01-14,전북,2,
2016-01-14,제주,2,
2016-01-14,충남,2,
2016-01-14,충북,2,
2016-01-15,강원,1,
2016-01-15,경기,1,
2016-01-15,경남,1,
2016-01-15,경북,1,
2016-01-15,광주,1,
2016-01-15,대구,1,
2016-01-15,대전,1,
2016-01-15,부산,1,
2016-01-15,서울,1,
2016-01-15,세종,1,
2016-01-15,울산,1,
2016-01-15,인천,1,
2016-01-15,전남,1,
2016-01-15,전북,1,
2016-01-15,제주,1,
2016-01-15,충남,1,
2016-01-15,충북,1,
2016-01-15,강원,2,
2016-01-15,경기,2,
2016-01-15,경남,2,
2016-01-15,경북,2,
2016-01-15,광주,2,
2016-01-15,대구,2,
2016-01-15,대전,2,
2016-01-15,부산,2,
2016-01-15,서울,2,
2016-01-15,세종,2,
2016-01-15,울산,2,
2016-01-15,인천,2,
2016-01-15,전남,2,
2016-01-15,전북,2,
2016-01-15,제주,2,
2016-01-15,충남,2,
2016-01-15,충북,2,
2016-01-16,강원,1,
2016-01-16,경기,1,
2016-01-16,경남,1,
2016-01-16,경북,1,
2016-01-16,광주,1,
2016-01-16,대구,1,
2016-01-16,대전,1,
2016-01-16,부산,1,
2016-01-16,서울,1,
2016-01-16,세종,1,
2016-01-16,울산,1,
2016-01-16,인천,1,
2016-01-16,전남,1,
2016-01-16,전북,1,
2016-01-16,제주,1,
2016-01-16,충남,1,
2016-01-16,충북,1,
2016-01-16,강원,2,
2016-01-16,경기,2,
2016-01-16,경남,2,
2016-01-16,경북,2,
2016-01-16,광주,2,
2016-01-16,대구,2,
2016-01-16,대전,2,
2016-01-16,부산,2,
2016-01-16,서울,2,
2016-01-16,세종,2,
2016-01-16,울산,2,
2016-01-16,인천,2,
2016-01-16,전남,2,
2016-01-16,전북,2,
2016-01-16,제주,2,
2016-01-16,충남,2,
2016-01-16,충북,2,
2016-01-17,강원,1,
2016-01-17,경기,1,
2016-01-17,경남,1,
2016-01-17,경북,1,
2016-01-17,광주,1,
2016-01-17,대구,1,
2016-01-17,대전,1,
2016-01-17,부산,1,
2016-01-17,서울,1,
2016-01-17,세종,1,
2016-01-17,울산,1,
2016-01-17,인천,1,
2016-01-17,전남,1,
2016-01-17,전북,1,
2016-01-17,제주,1,
2016-01-17,충남,1,
2016-01-17,충북,1,
2016-01-17,강원,2,
2016-01-17,경기,2,
2016-01-17,경남,2,
2016-01-17,경북,2,
2016-01-17,광주,2,
2016-01-17,대구,2,
2016-01-17,대전,2,
2016-01-17,부산,2,
2016-01-17,서울,2,
2016-01-17,세종,2,
2016-01-17,울산,2,
2016-01-17,인천,2,
2016-01-17,전남,2,
2016-01-17,전북,2,
2016-01-17,제주,2,
2016-01-17,충남,2,
2016-01-17,충북,2,
2016-01-18,강원,1,
2016-01-18,경기,1,
2016-01-18,경남,1,
2016-01-18,경북,1,
2016-01-18,광주,1,
2016-01-18,대구,1,
2016-01-18,대전,1,
2016-01-18,부산,1,
2016-01-18,서울,1,
2016-01-18,세종,1,
2016-01-18,울산,1,
2016-01-18,인천,1,
2016-01-18,전남,1,
2016-01-18,전북,1,
2016-01-18,제주,1,
2016-01-18,충남,1,
2016-01-18,충북,1,
2016-01-18,강원,2,
2016-01-18,경기,2,
2016-01-18,경남,2,
2016-01-18,경북,2,
2016-01-18,광주,2,
2016-01-18,대구,2,
2016-01-18,대전,2,
2016-01-18,부산,2,
2016-01-18,서울,2,
2016-01-18,세종,2,
2016-01-18,울산,2,
2016-01-18,인천,2,
2016-01-18,전남,2,
2016-01-18,전북,2,
2016-01-18,제주,2,
2016-01-18,충남,2,
2016-01-18,충북,2,
2016-01-19,강원,1,
2016-01-19,경기,1,
2016-01-19,경남,1,
2016-01-19,경북,1,
2016-01-19,광주,1,
2016-01-19,대구,1,
2016-01-19,대전,1,
2016-01-19,부산,1,
2016-01-19,서울,1,
2016-01-19,세종,1,
2016-01-19,울산,1,
2016-01-19,인천,1,
2016-01-19,전남,1,
2016-01-19,전북,1,
2016-01-19,제주,1,
2016-01-19,충남,1,
2016-01-19,충북,1,
2016-01-19,강원,2,
2016-01-19,경기,2,
2016-01-19,경남,2,
2016-01-19,경북,2,
2016-01-19,광주,2,
2016-01-19,대구,2,
2016-01-19,대전,2,
2016-01-19,부산,2,
2016-01-19,서울,2,
2016-01-19,세종,2,
2016-01-19,울산,2,
2016-01-19,인천,2,
2016-01-19,전남,2,
2016-01-19,전북,2,
2016-01-19,제주,2,
2016-01-19,충남,2,
2016-01-19,충북,2,
2016-01-20,강원,1,
2016-01-20,경기,1,
2016-01-20,경남,1,
2016-01-20,경북,1,
2016-01-20,광주,1,
2016-01-20,대구,1,
2016-01-20,대전,1,
2016-01-20,부산,1,
2016-01-20,서울,1,
2016-01-20,세종,1,
2016-01-20,울산,1,
2016-01-20,인천,1,
2016-01-20,전남,1,
2016-01-20,전북,1,
2016-01-20,제주,1,
2016-01-20,충남,1,
2016-01-20,충북,1,
2016-01-20,강원,2,
2016-01-20,경기,2,
2016-01-20,경남,2,
2016-01-20,경북,2,
2016-01-20,광주,2,
2016-01-20,대구,2,
2016-01-20,대전,2,
2016-01-20,부산,2,
2016-01-20,서울,2,
2016-01-20,세종,2,
2016-01-20,울산,2,
2016-01-20,인천,2,
2016-01-20,전남,2,
2016-01-20,전북,2,
2016-01-20,제주,2,
2016-01-20,충남,2,
2016-01-20,충북,2,
2016-01-21,강원,1,
2016-01-21,경기,1,
2016-01-21,경남,1,
2016-01-21,경북,1,
2016-01-21,광주,1,
2016-01-21,대구,1,
2016-01-21,대전,1,
2016-01-21,부산,1,
2016-01-21,서울,1,
2016-01-21,세종,1,
2016-01-21,울산,1,
2016-01-21,인천,1,
2016-01-21,전남,1,
2016-01-21,전북,1,
2016-01-21,제주,1,
2016-01-21,충남,1,
2016-01-21,충북,1,
2016-01-21,강원,2,
2016-01-21,경기,2,
2016-01-21,경남,2,
2016-01-21,경북,2,
2016-01-21,광주,2,
2016-01-21,대구,2,
2016-01-21,대전,2,
2016-01-21,부산,2,
2016-01-21,서울,2,
2016-01-21,세종,2,
2016-01-21,울산,2,
2016-01-21,인천,2,
2016-01-21,전남,2,
2016-01-21,전북,2,
2016-01-21,제주,2,
2016-01-21,충남,2,
2016-01-21,충북,2,
2016-01-22,강원,1,
2016-01-22,경기,1,
2016-01-22,경남,1,
2016-01-22,경북,1,
2016-01-22,광주,1,
2016-01-22,대구,1,
2016-01-22,대전,1,
2016-01-22,부산,1,
2016-01-22,서울,1,
2016-01-22,세종,1,
2016-01-22,울산,1,
2016-01-22,인천,1,
2016-01-22,전남,1,
2016-01-22,전북,1,
2016-01-22,제주,1,
2016-01-22,충남,1,
2016-01-22,충북,1,
2016-01-22,강원,2,
2016-01-22,경기,2,
2016-01-22,경남,2,
2016-01-22,경북,2,
2016-01-22,광주,2,
2016-01-22,대구,2,
2016-01-22,대전,2,
2016-01-22,부산,2,
2016-01-22,서울,2,
2016-01-22,세종,2,
2016-01-22,울산,2,
2016-01-22,인천,2,
2016-01-22,전남,2,
2016-01-22,전북,2,
2016-01-22,제주,2,
2016-01-22,충남,2,
2016-01-22,충북,2,
2016-01-23,강원,1,
2016-01-23,경기,1,
2016-01-23,경남,1,
2016-01-23,경북,1,
2016-01-23,광주,1,
2016-01-23,대구,1,
2016-01-23,대전,1,
2016-01-23,부산,1,
2016-01-23,서울,1,
2016-01-23,세종,1,
2016-01-23,울산,1,
2016-01-23,인천,1,
2016-01-23,전남,1,
2016-01-23,전북,1,
2016-01-23,제주,1,
2016-01-23,충남,1,
2016-01-23,충북,1,
2016-01-23,강원,2,
2016-01-23,경기,2,
2016-01-23,경남,2,
2016-01-23,경북,2,
2016-01-23,광주,2,
2016-01-23,대구,2,
2016-01-23,대전,2,
2016-01-23,부산,2,
2016-01-23,서울,2,
2016-01-23,세종,2,
2016-01-23,울산,2,
2016-01-23,인천,2,
2016-01-23,전남,2,
2016-01-23,전북,2,
2016-01-23,제주,2,
2016-01-23,충남,2,
2016-01-23,충북,2,
2016-01-24,강원,1,
2016-01-24,경기,1,
2016-01-24,경남,1,
2016-01-24,경북,1,
2016-01-24,광주,1,
2016-01-24,대구,1,
2016-01-24,대전,1,
2016-01-24,부산,1,
2016-01-24,서울,1,
2016-01-24,세종,1,
2016-01-24,울산,1,
2016-01-24,인천,1,
2016-01-24,전남,1,
2016-01-24,전북,1,
2016-01-24,제주,1,
2016-01-24,충남,1,
2016-01-24,충북,1,
2016-01-24,강원,2,
2016-01-24,경기,2,
2016-01-24,경남,2,
2016-01-24,경북,2,
2016-01-24,광주,2,
2016-01-24,대구,2,
2016-01-24,대전,2,
2016-01-24,부산,2,
2016-01-24,서울,2,
2016-01-24,세종,2,
2016-01-24,울산,2,
2016-01-24,인천,2,
2016-01-24,전남,2,
2016-01-24,전북,2,
2016-01-24,제주,2,
2016-01-24,충남,2,
2016-01-24,충북,2,
2016-01-25,강원,1,
2016-01-25,경기,1,
2016-01-25,경남,1,
2016-01-25,경북,1,
2016-01-25,광주,1,
2016-01-25,대구,1,
2016-01-25,대전,1,
2016-01-25,부산,1,
2016-01-25,서울,1,
2016-01-25,세종,1,
2016-01-25,울산,1,
2016-01-25,인천,1,
2016-01-25,전남,1,
2016-01-25,전북,1,
2016-01-25,제주,1,
2016-01-25,충남,1,
2016-01-25,충북,1,
2016-01-25,강원,2,
2016-01-25,경기,2,
2016-01-25,경남,2,
2016-01-25,경북,2,
2016-01-25,광주,2,
2016-01-25,대구,2,
2016-01-25,대전,2,
2016-01-25,부산,2,
2016-01-25,서울,2,
2016-01-25,세종,2,
2016-01-25,울산,2,
2016-01-25,인천,2,
2016-01-25,전남,2,
2016-01-25,전북,2,
2016-01-25,제주,2,
2016-01-25,충남,2,
2016-01-25,충북,2,
2016-01-26,강원,1,
2016-01-26,경기,1,
2016-01-26,경남,1,
2016-01-26,경북,1,
2016-01-26,광주,1,
2016-01-26,대구,1,
2016-01-26,대전,1,
2016-01-26,부산,1,
2016-01-26,서울,1,
2016-01-26,세종,1,
2016-01-26,울산,1,
2016-01-26,인천,1,
2016-01-26,전남,1,
2016-01-26,전북,1,
2016-01-26,제주,1,
2016-01-26,충남,1,
2016-01-26,충북,1,
2016-01-26,강원,2,
2016-01-26,경기,2,
2016-01-26,경남,2,
2016-01-26,경북,2,
2016-01-26,광주,2,
2016-01-26,대구,2,
2016-01-26,대전,2,
2016-01-26,부산,2,
2016-01-26,서울,2,
2016-01-26,세종,2,
2016-01-26,울산,2,
2016-01-26,인천,2,
2016-01-26,전남,2,
2016-01-26,전북,2,
2016-01-26,제주,2,
2016-01-26,충남,2,
2016-01-26,충북,2,
2016-01-27,강원,1,
2016-01-27,경기,1,
2016-01-27,경남,1,
2016-01-27,경북,1,
2016-01-27,광주,1,
2016-01-27,대구,1,
2016-01-27,대전,1,
2016-01-27,부산,1,
2016-01-27,서울,1,
2016-01-27,세종,1,
2016-01-27,울산,1,
2016-01-27,인천,1,
2016-01-27,전남,1,
2016-01-27,전북,1,
2016-01-27,제주,1,
2016-01-27,충남,1,
2016-01-27,충북,1,
2016-01-27,강원,2,
2016-01-27,경기,2,
2016-01-27,경남,2,
2016-01-27,경북,2,
2016-01-27,광주,2,
2016-01-27,대구,2,
2016-01-27,대전,2,
2016-01-27,부산,2,
2016-01-27,서울,2,
2016-01-27,세종,2,
2016-01-27,울산,2,
2016-01-27,인천,2,
2016-01-27,전남,2,
2016-01-27,전북,2,
2016-01-27,제주,2,
2016-01-27,충남,2,
2016-01-27,충북,2,
2016-01-28,강원,1,
2016-01-28,경기,1,
2016-01-28,경남,1,
2016-01-28,경북,1,
2016-01-28,광주,1,
2016-01-28,대구,1,
2016-01-28,대전,1,
2016-01-28,부산,1,
2016-01-28,서울,1,
2016-01-28,세종,1,
2016-01-28,울산,1,
2016-01-28,인천,1,
2016-01-28,전남,1,
2016-01-28,전북,1,
2016-01-28,제주,1,
2016-01-28,충남,1,
2016-01-28,충북,1,
2016-01-28,강원,2,
2016-01-28,경기,2,
2016-01-28,경남,2,
2016-01-28,경북,2,
2016-01-28,광주,2,
2016-01-28,대구,2,
2016-01-28,대전,2,
2016-01-28,부산,2,
2016-01-28,서울,2,
2016-01-28,세종,2,
2016-01-28,울산,2,
2016-01-28,인천,2,
2016-01-28,전남,2,
2016-01-28,전북,2,
2016-01-28,제주,2,
2016-01-28,충남,2,
2016-01-28,충북,2,
2016-01-29,강원,1,
2016-01-29,경기,1,
2016-01-29,경남,1,
2016-01-29,경북,1,
2016-01-29,광주,1,
2016-01-29,대구,1,
2016-01-29,대전,1,
2016-01-29,부산,1,
2016-01-29,서울,1,
2016-01-29,세종,1,
2016-01-29,울산,1,
2016-01-29,인천,1,
2016-01-29,전남,1,
2016-01-29,전북,1,
2016-01-29,제주,1,
2016-01-29,충남,1,
2016-01-29,충북,1,
2016-01-29,강원,2,
2016-01-29,경기,2,
2016-01-29,경남,2,
2016-01-29,경북,2,
2016-01-29,광주,2,
2016-01-29,대구,2,
2016-01-29,대전,2,
2016-01-29,부산,2,
2016-01-29,서울,2,
2016-01-29,세종,2,
2016-01-29,울산,2,
2016-01-29,인천,2,
2016-01-29,전남,2,
2016-01-29,전북,2,
2016-01-29,제주,2,
2016-01-29,충남,2,
2016-01-29,충북,2,
2016-01-30,강원,1,
2016-01-30,경기,1,
2016-01-30,경남,1,
2016-01-30,경북,1,
2016-01-30,광주,1,
2016-01-30,대구,1,
2016-01-30,대전,1,
2016-01-30,부산,1,
2016-01-30,서울,1,
2016-01-30,세종,1,
2016-01-30,울산,1,
2016-01-30,인천,1,
2016-01-30,전남,1,
2016-01-30,전북,1,
2016-01-30,제주,1,
2016-01-30,충남,1,
2016-01-30,충북,1,
2016-01-30,강원,2,
2016-01-30,경기,2,
2016-01-30,경남,2,
2016-01-30,경북,2,
2016-01-30,광주,2,
2016-01-30,대구,2,
2016-01-30,대전,2,
2016-01-30,부산,2,
2016-01-30,서울,2,
2016-01-30,세종,2,
2016-01-30,울산,2,
2016-01-30,인천,2,
2016-01-30,전남,2,
2016-01-30,전북,2,
2016-01-30,제주,2,
2016-01-30,충남,2,
2016-01-30,충북,2,
2016-01-31,강원,1,
2016-01-31,경기,1,
2016-01-31,경남,1,
2016-01-31,경북,1,
2016-01-31,광주,1,
2016-01-31,대구,1,
2016-01-31,대전,1,
2016-01-31,부산,1,
2016-01-31,서울,1,
2016-01-31,세종,1,
2016-01-31,울산,1,
2016-01-31,인천,1,
2016-01-31,전남,1,
2016-01-31,전북,1,
2016-01-31,제주,1,
2016-01-31,충남,1,
2016-01-31,충북,1,
2016-01-31,강원,2,
2016-01-31,경기,2,
2016-01-31,경남,2,
2016-01-31,경북,2,
2016-01-31,광주,2,
2016-01-31,대구,2,
2016-01-31,대전,2,
2016-01-31,부산,2,
2016-01-31,서울,2,
2016-01-31,세종,2,
2016-01-31,울산,2,
2016-01-31,인천,2,
2016-01-31,전남,2,
2016-01-31,전북,2,
2016-01-31,제주,2,
2016-01-31,충남,2,
2016-01-31,충북,2,
2016-02-01,강원,1,
2016-02-01,경기,1,
2016-02-01,경남,1,
2016-02-01,경북,1,
2016-02-01,광주,1,
2016-02-01,대구,1,
2016-02-01,대전,1,
2016-02-01,부산,1,
2016-02-01,서울,1,
2016-02-01,세종,1,
2016-02-01,울산,1,
2016-02-01,인천,1,
2016-02-01,전남,1,
2016-02-01,전북,1,
2016-02-01,제주,1,
2016-02-01,충남,1,
2016-02-01,충북,1,
2016-02-01,강원,2,
2016-02-01,경기,2,
2016-02-01,경남,2,
